"Unique Identifier","Agenda Number","Meeting","Meeting Date","Sponsor","Co-Sponsors","Charter Right","Amended","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Joan Pickett","Yeas","Nays","Present","Absent","Link","Summary"
"POR 2024 #47","1","2024-04-01 Regular","45383","Burhan Azeem","E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Joan Pickett","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4474&MediaPosition=&ID=22484&CssClass=","City Council support of H.3012/S.2027, An Act Authorizing Project Labor Agreements, to strengthen and secure Massachusetts' long term economic development."
"POR 2024 #48","2","2024-04-01 Regular","45383","Marc C. McGovern","Ayesha M. Wilson","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4474&MediaPosition=&ID=22551&CssClass=","Urge all Cantabrigians to pause on Patriots' Day to pay tribute to those who died for our nation and remember their service and devotion to this country."
"POR 2024 #49","1","2024-04-08 Regular","45390","Paul F. Toner","Joan Pickett,Patricia Nolan,Sumbul Siddiqui","","Yes","Adopted","8-0-1","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22557&CssClass=","That the City Manager is requested to direct the Community Development Department and the Law Department to draft proposed near-term amendments to the PTDM Ordinance and Zoning Ordinance."
"POR 2024 #50","2","2024-04-08 Regular","45390","Paul F. Toner","Joan Pickett,Ayesha M. Wilson","Jivan Sobrinho-Wheeler","","Adopted","45416","Roll Call","yes","no","no","yes","no","yes","yes","no","yes","E. Denise Simmons, Patricia Nolan, Paul F. Toner, Ayesha M. Wilson, Joan Pickett","Marc C. McGovern, Burhan Azeem, Sumbul Siddiqui, Jivan Sobrinho-Wheeler","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22558&CssClass=","That the City Manager is requested to direct the Traffic, Parking and Transportation Department, the Department of Public Works, the Community Development Department, and the Law Department to draft proposed amendments to the Cycling Safety Ordinance to extend the deadline associated with the completion of those sections of the ordinance that are required to be completed by May 1, 2026. CHARTER RIGHT EXERCISED BY COUNCILLOR WHEELER IN COUNCIL APRIL 8, 2024"
"POR 2024 #51","3","2024-04-08 Regular","45390","Paul F. Toner","Joan Pickett,Patricia Nolan,Sumbul Siddiqui,E. Denise Simmons","","Yes","Adopted","8-0-1","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22559&CssClass=","That the City Manager is requested to direct the Traffic, Parking, and Transportation Department to hold a community meeting with residents of Appleton and surrounding streets in the Huron and Brattle Street neighborhoods to review their findings and discuss options for addressing the traffic concerns on Appleton Street."
"POR 2024 #52","4","2024-04-08 Regular","45390","Jivan Sobrinho-Wheeler","Sumbul Siddiqui,Marc C. McGovern,Ayesha M. Wilson","Paul F. Toner","","Adopted","","Roll Call","yes","yes","yes","yes","yes","no","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Paul F. Toner, Joan Pickett","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22567&CssClass=","City Council support of H.2963, An Act relative to payments in lieu of taxation by organizations exempt from the property tax, to ensure municipalities are fairly compensated and their long-term budgetary needs are preserved. CHARTER RIGHT EXERCISED BY COUNCILLOR TONER IN COUNCIL APRIL 8, 2024"
"POR 2024 #53","5","2024-04-08 Regular","45390","E. Denise Simmons","Paul F. Toner","","Yes","Adopted","8-0-1","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22582&CssClass=","Designating Week of April 14 as National Public Safety Telecommunicators Week."
"POR 2024 #54","6","2024-04-08 Regular","45390","Jivan Sobrinho-Wheeler","","Paul F. Toner","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4475&MediaPosition=&ID=22703&CssClass=","That the Amendments to the Tenants’ Rights Ordinance recommended by the Law Department, in CMA 2024 #68, be forwarded to the Ordinance Committee for hearing and report"
"POR 2024 #55","1","2024-04-29 Regular","45411","Paul F. Toner","Marc C. McGovern,E. Denise Simmons","","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4477&MediaPosition=&ID=23018&CssClass=","That the City Council go on record requesting that The Thomas P. ONeil/Fresh Pond Municipal Golf Course Clubhouse be formally named the ‚-Paul Ryder Golf Club House‚Äù in dedication to Paul‚Äôs years of service and dedication to the City of Cambridge."
"POR 2024 #56","2","2024-04-29 Regular","45411","Paul F. Toner","Joan Pickett","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4477&MediaPosition=&ID=23029&CssClass=","That the Executive Assistant to the City Council confer with the Dedication Committee to consider a request for a dedication in a suitable location to honor Mafalda ‚ÄúMuffie‚Äù Gargano."
"POR 2024 #57","3","2024-04-29 Regular","45411","Jivan Sobrinho-Wheeler","Sumbul Siddiqui,Burhan Azeem,Ayesha M. Wilson","Paul F. Toner","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4477&MediaPosition=&ID=23425&CssClass=","Request that the Foundation for Civic Leadership reconsider their plans for the Democracy Center meetinghouse and meet with the affected organizations and organizers to reach a suitable resolution."
"POR 2024 #58","4","2024-04-29 Regular","45411","Ayesha M. Wilson","Sumbul Siddiqui,Jivan Sobrinho-Wheeler","Paul F. Toner","Yes","Adopted","","Roll Call","present","yes","yes","yes","yes","no","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","Paul F. Toner","E. Denise Simmons","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4539&MediaPosition=&ID=23480&CssClass=","On the Use of Cambridge Officers to Police Political Demonstrations at Institutions of Higher Learning"
"POR 2024 #59","1","2024-05-06 Regular","45418","E. Denise Simmons","Paul F. Toner","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4478&MediaPosition=&ID=23568&CssClass=","Designating May as Mental Health Awareness Month."
"POR 2024 #60","2","2024-05-06 Regular","45418","Jivan Sobrinho-Wheeler","Patricia Nolan,Sumbul Siddiqui","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","present","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","Paul F. Toner","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4478&MediaPosition=&ID=23636&CssClass=","Opposition to the expansion of private jet facilities at Hanscom Field or anywhere in the region."
"POR 2024 #61","3","2024-05-06 Regular","45418","Patricia Nolan","Jivan Sobrinho-Wheeler,Sumbul Siddiqui,Ayesha M. Wilson","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4478&MediaPosition=&ID=23790&CssClass=","That the City Manager is requested to work with relevant City departments to provide a summary of city efforts related to PFAS concerns, an update on educational information that can be shared with the community that outline actions individuals can take to reduce their exposure to PFAS, and provide an overview of the federal and state regulatory environment for PFAS in the wastewater stream."
"POR 2024 #62","1","2024-05-13 Regular","45425","Burhan Azeem","Sumbul Siddiqui","","Yes","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4479&MediaPosition=&ID=24003&CssClass=","That the City Manager is requested to direct the Community Development Department to work with the Co-Chairs of the Housing Committee to turn their vision of multifamily housing citywide into zoning language."
"POR 2024 #63","2","2024-05-13 Regular","45425","Marc C. McGovern","Ayesha M. Wilson,Burhan Azeem,Jivan Sobrinho-Wheeler","","Yes","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4479&MediaPosition=&ID=24004&CssClass=","That the City Council calls upon the City Manager to take steps to bring support to efforts supporting Overdose Prevention Center legislation currently under consideration in the Massachusetts Senate and House of Representatives."
"POR 2024 #64","3","2024-05-13 Regular","45425","Marc C. McGovern","E. Denise Simmons","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4479&MediaPosition=&ID=24012&CssClass=","The Cambridge City Council go on record recognizing the first full week of May as Peripheral Neuropathy Awareness Week."
"POR 2024 #65","1","2024-05-20 Regular","45432","Paul F. Toner","Jivan Sobrinho-Wheeler,Sumbul Siddiqui","Paul F. Toner","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4480&MediaPosition=&ID=24134&CssClass=","City Council support of the Act Establishing Protections and Accountability for TNC and DNC Workers (S.627/H1158), which would allow TNCs to sustain worker benefits and protections that maintain a level playing field across transportation industries."
"POR 2024 #66","2","2024-05-20 Regular","45432","Patricia Nolan","E. Denise Simmons,Jivan Sobrinho-Wheeler,Burhan Azeem","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4480&MediaPosition=&ID=24286&CssClass=","That the City Manager is requested to work with relevant City departments and the Cambridge Arts Council to consider whether Cambridge could facilitate a porchfest event."
"POR 2024 #67","1","2024-06-03 Regular","45446","Marc C. McGovern","E. Denise Simmons","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24312&CssClass=","That the City Council renew its observance of Loving Day on June 12, 2024, and encourages all Cambridge residents to embrace the diversity of families and recognize the importance of this day."
"POR 2024 #68","2","2024-06-03 Regular","45446","E. Denise Simmons","Paul F. Toner","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24318&CssClass=","That the City Manager is requested to direct the Traffic, Parking and Transportation Department and other appropriate City personnel to implement more robust ticketing and parking enforcement measures near the intersection of Norman Street and Belmont Street."
"POR 2024 #69","3","2024-06-03 Regular","45446","E. Denise Simmons","Jivan Sobrinho-Wheeler,Marc C. McGovern,Paul F. Toner","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24319&CssClass=","That the City Manager is requested to clarify why the Wage Theft Enforcement Committee has not yet been appointed and to swiftly appoint the committee as called for in the Wage Theft Ordinance."
"POR 2024 #70","4","2024-06-03 Regular","45446","E. Denise Simmons","Paul F. Toner,Joan Pickett,Ayesha M. Wilson","E. Denise Simmons","","Tabled","","Roll Call","yes","yes","yes","no","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","Patricia Nolan","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24372&CssClass=","That the City Manager is requested to explore the feasibility of delaying the Mass Avenue reconstruction project to minimize its impact upon the busy season for restaurants and other affected businesses, and, should this not be found feasible, a method of providing financial assistance to the impacted businesses to cover the costs of removing their outdoor dining structures, designed to mitigate some of the financial impacts upon them, should be established."
"POR 2024 #71","5","2024-06-03 Regular","45446","Joan Pickett","Paul F. Toner,Marc C. McGovern","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24314&CssClass=","That the City Manager is requested to provide a list of current zoning initiatives along with CDD’s recommendations for a timeline for completing each of the zoning initiatives in order for the Council to confirm zoning priorities."
"POR 2024 #72","6","2024-06-03 Regular","45446","Joan Pickett","Jivan Sobrinho-Wheeler,E. Denise Simmons","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24374&CssClass=","That the City Manager is requested to work with CDD to provide a written outreach plan for engaging the community related to the processes underway in Central Square."
"POR 2024 #73","7","2024-06-03 Regular","45446","Joan Pickett","Jivan Sobrinho-Wheeler,E. Denise Simmons","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24375&CssClass=","That the City Manager is hereby requested to provide the draft Request for Information for the 84 & 96 Bishop Allen Drive to the City Council for review and comment."
"POR 2024 #74","8","2024-06-03 Regular","45446","Jivan Sobrinho-Wheeler","E. Denise Simmons,Marc C. McGovern,Ayesha M. Wilson","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24385&CssClass=","City Council support of H.1713/S.947, An Act to Ensure Legal Parentage Equality, to ensure all parents and children are afforded the same protections under the law."
"POR 2024 #75","9","2024-06-03 Regular","45446","E. Denise Simmons","Paul F. Toner,Jivan Sobrinho-Wheeler","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4481&MediaPosition=&ID=24393&CssClass=","That the City Manager is requested to provide to the City Council a detailed justification for the increased fees for Youth Centers for the 2024-2025 school year."
"POR 2024 #76","1","2024-06-10 Regular","45453","Joan Pickett","Patricia Nolan,Paul F. Toner","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4482&MediaPosition=&ID=24305&CssClass=","The City Manager is requested to provide an update to the Municipal Facilities Improvement Plan (MFIP) including revised cost estimates to help inform the FY26 and ongoing capital budget priorities in a timely manner."
"POR 2024 #77","2","2024-06-10 Regular","45453","Marc C. McGovern","Sumbul Siddiqui,Jivan Sobrinho-Wheeler","","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4482&MediaPosition=&ID=24404&CssClass=","That the Cambridge City Council go on record requesting that MassDOT begin engaging with Cambridge residents and the Cambridgeport neighborhood early and often throughout the BU Rotary/Reid Overpass Reconstruction."
"POR 2024 #78","3","2024-06-10 Regular","45453","Burhan Azeem","Patricia Nolan,Joan Pickett","Burhan Azeem","","Tabled","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4482&MediaPosition=&ID=24449&CssClass=","That the City Manager is requested to support local news production as a public good by conducting a $100,000 per year city-backed news fund pilot for up to three years to be administered through an independent intermediary that will decide on funding criteria and selection of local newspapers that provide material coverage of Cambridge news."
"POR 2024 #79","4","2024-06-10 Regular","45453","E. Denise Simmons","Marc C. McGovern","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4482&MediaPosition=&ID=24436&CssClass=","That the City Council go on record urging Fenway Health to reconsider the closure of the Central Square Boomerangs thrift store, that the organization is requested to provide a detailed explanation to the community regarding the reasons for the closure of these thrift stores, and that the organization is requested to explore all possible alternatives to maintain this vital community resource."
"POR 2024 #80","5","2024-06-10 Regular","45453","E. Denise Simmons","Sumbul Siddiqui","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4482&MediaPosition=&ID=24457&CssClass=","In Support of Neville Center"
"POR 2024 #81","1","2024-06-17 Regular","45460","Joan Pickett","E. Denise Simmons,Marc C. McGovern,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson","","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24306&CssClass=","That the City Manager is requested to explore with the MBTA how to best ensure that the public art, Gift of the Wind, is preserved."
"POR 2024 #82","2","2024-06-17 Regular","45460","Jivan Sobrinho-Wheeler","Marc C. McGovern,Sumbul Siddiqui,Burhan Azeem,Ayesha M. Wilson,E. Denise Simmons,Joan Pickett,Patricia Nolan,Paul F. Toner","","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24560&CssClass=","That the City Manager is requested to develop a policy and systems to ensure that an infrastructure safety audit is made to intersections where a crash results in a serious injury and implement needed safety improvements."
"POR 2024 #83","3","2024-06-17 Regular","45460","E. Denise Simmons","Marc C. McGovern","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24529&CssClass=","That Chair of the Government Operations, Rules, and Claims Committee is hereby appointed to manage the City Manager performance evaluation process via his role as Chair of this committee."
"POR 2024 #84","4","2024-06-17 Regular","45460","Patricia Nolan","Jivan Sobrinho-Wheeler,Paul F. Toner","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24622&CssClass=","That the City Manager is requested to work with the Community Development Department and all relevant City departments to report on how have community events and ways to inform residents of all efforts to improve driving, cycling, and pedestrian safety and educate residents on how best to safely follow the rules when using roadways."
"POR 2024 #85","5","2024-06-17 Regular","45460","Jivan Sobrinho-Wheeler","Sumbul Siddiqui,Patricia Nolan,Ayesha M. Wilson","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24641&CssClass=","City Council support of the mission of the June delegation to strengthen the contact between Cambridge and El Salvador and to foster ties between the communities as well as the community-building in our home communities."
"POR 2024 #86","6","2024-06-17 Regular","45460","E. Denise Simmons","Paul F. Toner,Joan Pickett,Marc C. McGovern,Ayesha M. Wilson","","Yes","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4483&MediaPosition=&ID=24649&CssClass=","Late Policy Order Re Central Square Library and Green Street Garage"
"POR 2024 #87","1","2024-06-24 Regular","45467","Marc C. McGovern","E. Denise Simmons","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4484&MediaPosition=&ID=24652&CssClass=","That the City Council recognize July, 2024 as “Disability Pride Month” in Cambridge, Massachusetts and encourages all citizens to join in celebrating the achievements and contributions of individuals with disabilities and to promote a more inclusive and accessible society for all."
"POR 2024 #88","2","2024-06-24 Regular","45467","Joan Pickett","Marc C. McGovern,Sumbul Siddiqui,Jivan Sobrinho-Wheeler","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4484&MediaPosition=&ID=24682&CssClass=","The City Manager is directed to provide a plan for keeping residents, businesses and public safety officials informed about the status of current and future inter-jurisdictional transportation projects."
